task_id,assignment_id,description
0,0,какой цвет искажает фото?
1,0,искажает фото какой цвет?
2,1,юбка и кофта продам что?
3,1,продам что юбка и кофта?
4,1,что юбка и кофта продам?
5,1,продам что костюм?
6,2,кто отпрянул назад?
7,2,отпрянул кто назад?
8,2,назад кто отпрянул?
9,2,назад отпрянул кто?
10,3,мотор что дает?
11,3,что мотор дает?
12,4,чем регулируется размер?
13,5,что коляска имеет?
14,5,что имеет коляска?
15,5,хорошую проходимость имеет что?
16,6,подарочный комплект чему предлагается?
17,6,что вашему вниманию предлагается?
18,6,предлагается вашему вниманию что?
19,7,кто глядел нахмурясь?
20,7,глядел кто нахмурясь?
21,7,глядел нахмурясь кто?
22,8,как диски смотрятся?
23,8,смотрятся как диски?
24,8,что отлично смотрится?
25,8,отлично смотрится что?
26,9,чем полнота регулируется?
27,10,как смотрятся колёса?
28,10,смотрится что очень красиво?
29,10,очень красиво смотрится что?
30,11,стоит что спереди?
31,12,сходит что быстро?
32,13,как держалась чешуйка?
33,14,имеет роман что?
34,15,как течет духовка?
35,15,течет как духовка?
36,15,что течет отлично?
37,15,течет что отлично?
38,16,Пипа что закусила?
39,16,закусил кто губу?
40,16,закусил губу кто?
41,16,губу закусил кто?
42,17,лукаво кто улыбнулся?
43,18,что регулируется бесшумно?
44,18,что бесшумно регулируется?
45,18,регулируется что бесшумно?
46,18,бесшумно что регулируется?
47,19,работает ровно что?
48,20,золотой пояс что подчеркивает?
49,20,подчеркивает фигуру золотой пояс как?
50,21,как работает кондер?
51,21,как кондер работает?
52,21,работает кондер как?
53,21,что отлично работает?
54,22,отлично что переносит?
55,23,какой принт подчеркнет вашу индивидуальность?
56,23,подчеркнет что красивый принт?
57,23,что подчеркнет красивый принт?
58,24,обновляется как ассортимент планшетов?
59,24,как ассортимент планшетов обновляется?
60,24,обновляется что постоянно?
61,25,роль оборудование играет?
62,25,роль играет оборудование?
63,26,била кого дрожь?
64,26,кого била дрожь?
65,26,журавлика било что?
66,27,как держит батарейка?
67,28,вложение требует что?
68,29,что втрое раскладывается?
69,29,раскладывается что втрое?
70,29,втрое что раскладывается?
71,29,втрое раскладывается что?
72,30,рядом находятся какие услуги?
73,31,время приносит что?
74,32,идеально что украсит?
75,33,куда бредет Сашук?
76,33,бредет Сашук куда?
77,33,Сашук бредет куда?
78,33,домой бредет что?
79,34,колёса как смотрятся?
80,34,смотрятся как колёса?
81,34,как смотрятся колёса?
82,35,заметил кедр кого?
83,35,заметил кого кедр?
84,35,что заметило Элис?
85,35,заметило что Элис?
86,36,срабатывает плохо что?
87,37,брюки имеют что?
88,37,что имеет съемные эластичные бретели?
89,38,Смартпот что вполне украсит?
90,38,вполне украсит Смартпот что?
91,38,что Смартпот вполне украсит?
92,39,что мгновенно произошло?
93,39,мгновенно что произошло?
94,39,мгновенно произошло что?
95,40,притягивает что украшение?
96,40,что украшение притягивает?
97,40,что притягивает украшение?
98,41,повела чем Наташа?
99,41,повел кто плечом?
100,41,повел плечом кто?
101,41,плечом повел кто?
102,42,развернули точки что?
103,43,солнце что пронизывало?
104,43,что солнце пронизывало?
105,43,воду пронизывало что?
106,44,семья что снимет?
107,44,что дом снимет?
108,45,большие нагрузки выдерживает что?
109,45,выдерживает стенка какие нагрузки?
110,46,покачал Фернан чем?
111,47,Петька подымается как?
112,48,Лёнька что затаил?
113,48,затаил Лёнька что?
114,48,что Лёнька затаил?
115,49,оговариваются другие размеры как?
116,49,оговариваются как другие размеры?
117,49,отдельно оговаривается что?
118,50,переключается как дата?
119,50,автоматически переключается что?
120,51,что открыл старик?
121,51,открыл дверь кто?
122,51,дверь кто открыл?
123,52,содержит дополнительные материалы что?
124,52,дополнительные материалы содержит что?
125,53,заполняемость чем обсуждается?
126,54,работает что четко?
127,55,что игнорируется обычно?
128,55,что обычно игнорируется?
129,56,причина хочу что?
130,56,причина что хочу?
131,56,что причина хочу?
132,57,есть потайная молния где?
133,57,какая молния есть сбоку?
134,57,какая молния сбоку есть?
135,57,есть какая молния сбоку?
136,58,соответствует чему цена?
137,58,что товару соответствует?
138,58,товару что соответствует?
139,59,какой порошок антистатический эффект обеспечит?
140,59,что турмалиновый порошок обеспечит?
141,59,что обеспечит антистатический эффект?
142,60,Ленька как дышал?
143,60,тяжело кто дышал?
144,61,какие услуги отдельно оплачиваются?
145,61,что отдельно оплачивается?
146,62,что соответствует телефону?
147,63,застраивается активно что?
148,64,как движок работает?
149,64,движок как работает?
150,65,как Ван свистнул?
151,65,свистнул как Ван?
152,65,Ван как свистнул?
153,65,Ван свистнул как?
154,66,как продаются диски?
155,66,продаются диски как?
156,66,что отдельно продается?
157,67,предлагает питомник кого?
158,67,кого предлагает питомник?
159,68,состояние чему соответствует?
160,68,что фото соответствует?
161,69,служит двойной излом чем?
162,69,служит чем двойной излом?
163,69,дополнительным ребром что служит?
164,69,дополнительным ребром служит что?
165,70,где небольшой скол имеется?
166,70,где имеется небольшой скол?
167,70,имеется какой скол снизу?
168,70,что снизу имеется?
169,71,администратор блокируйте объявление?
170,71,блокируйте объявление администратор?
171,71,объявление администратор блокируйте?
172,72,Кармини пожал чем?
173,72,пожал Кармини чем?
174,72,кто плечами пожал?
175,72,пожал кто плечами?
176,73,вытаращил что Эрн?
177,73,что вытаращил Эрн?
178,74,ищет что Е?
179,74,кто ищет любую работу?
180,74,кто любую работу ищет?
181,75,как фотографирует камера?
182,75,как камера фотографирует?
183,75,фотографирует что отлично?
184,75,фотографирует отлично что?
185,76,девушка что ищет?
186,76,ищет кто стабильную работу?
187,76,стабильную работу кто ищет?
188,77,Джулиан отложил что?
189,77,отложил Джулиан что?
190,78,что хорошо пишет?
191,78,пишет хорошо что?
192,79,чем отправлю жилетка?
193,80,сопровождается что великолепными иллюстрациями?
194,80,сопровождается великолепными иллюстрациями что?
195,80,великолепными иллюстрациями сопровождается что?
196,81,Володя дал что?
197,81,дал что Володя?
198,81,дал кто очередь?
199,82,облизал что карлик?
200,82,что облизал карлик?
201,82,кто губы облизал?
202,83,как обсуждается доставка?
203,83,как доставка обсуждается?
204,83,обсуждается что отдельно?
205,83,отдельно что обсуждается?
206,84,что впитывает влагу?
207,85,пожала чем Иришка?
208,85,кто плечами пожал?
209,86,какой дом ищет хозяина?
210,86,хозяина какой дом ищет?
211,86,ищет уютный дом кого?
212,86,уютный дом кого ищет?
213,87,дальше кто пошел?
214,87,дальше пошел кто?
215,88,родители подарили что?
216,88,родители что подарили?
217,88,подарили что родители?
218,89,открывается одной рукой что?
219,90,задник регулируется чем?
220,90,задник чем регулируется?
221,90,регулируется задник чем?
222,90,регулируется что завязками?
223,91,вёдрами кто зазвенел?
224,92,кто пользуется заклинаниями?
225,92,заклинаниями пользуется кто?
226,93,Таня распахнула что?
227,93,что Таня распахнула?
228,93,распахнул кто форточку?
229,93,форточку кто распахнул?
230,94,отличным подарком станет кто?
231,94,каким подарком котята станут?
232,94,станут каким подарком котята?
233,95,работает отлично что?
234,96,какая дочка куколкой будет?
235,96,кто будет куколкой?
236,96,будет кто куколкой?
237,96,куколкой будет кто?
238,97,Карташев кого увидел?
239,97,кого увидел Карташев?
240,97,итальянку кто увидел?
241,98,какие детки ждут своих родителей?
242,98,ждут какие детки своих родителей?
243,98,кто своих родителей ждет?
244,99,что оплачивается отдельно?
245,99,отдельно что оплачивается?
246,100,Гномыч чем всплеснул?
247,100,чем Гномыч всплеснул?
248,101,имеет что профилактическую стельку?
249,102,где скрипнули ворота?
250,102,скрипнули ворота где?
251,102,тут что скрипнуло?
252,103,имеет место значение?
253,104,крепежные болты закрываются чем?
254,104,крышкой закрываются какие болты?
255,104,что крышкой закрывается?
256,105,что приобретается отдельно?
257,106,Митька отступил как?
258,106,кто поспешно отступил?
259,107,коляска продувается зимой?
260,107,не продувается чем коляска?
261,108,греет печка как?
262,108,греет очень хорошо что?
263,108,очень хорошо что греет?
264,109,чистится что регулярно?
265,109,регулярно что чистится?
266,110,кто поближе подсел?
267,110,подсел поближе кто?
268,110,поближе подсел кто?
269,111,ботинки чем обладают?
270,111,чем обладают ботинки?
271,111,что малым весом обладает?
272,112,отсоединяется где чехол?
273,112,что отсоединяется внутри?
274,113,что идет целиком?
275,113,идет что целиком?
276,113,целиком что идет?
277,113,целиком идет что?
278,114,как автобусы ходят?
279,114,ходит постоянно что?
280,114,постоянно ходит что?
281,115,подняла мама что?
282,115,что подняла мама?
283,115,поднял кто трубку?
284,115,трубку кто поднял?
285,116,какое шоссе проходит неподалеку?
286,116,проходит какое шоссе неподалеку?
287,116,проходит неподалеку какое шоссе?
288,117,щенки кого ждут?
289,118,какой телефон подарили причина продажи?
290,119,отлично работает что?
291,120,покачал чем мальчишка?
292,120,чем покачал мальчишка?
293,120,головой покачал кто?
294,121,капитан спустился куда?
295,122,как работают деки?
296,122,работают деки как?
297,123,взрослел зайчонок как?
298,123,зайчонок взрослел как?
299,123,взрослел быстро кто?
300,123,быстро взрослел кто?
301,124,ищут красивые котятки каких хозяев?
302,124,какие котятки ищут заботливых хозяев?
303,124,красивые котятки ищут кого?
304,124,заботливых хозяев ищет кто?
305,125,автомобиль ждет кого?
306,126,шаги какие стельки смягчают?
307,126,смягчает что шаги?
308,127,очаровательные котятки ищут кого?
309,127,ищет кто хозяев?
310,128,часы принимают что?
311,128,часы что принимают?
312,128,принимают какие звонки часы?
313,128,часы принимают какие звонки?
314,129,знает отлично что?
315,129,отлично что знает?
316,130,как греет печь?
317,130,печь греет как?
318,131,шло что превосходно?
319,131,шло превосходно что?
320,132,кто кусал снег?
321,132,кусал снег кто?
322,133,что полимерный корпус имеет?
323,133,полимерный корпус что имеет?
324,133,имеет устройство какой корпус?
325,134,уронила что сосна?
326,134,что сосна уронила?
327,134,что уронило шишку?
328,135,плюш что ищет?
329,135,ищет что новый дом?
330,135,новый дом ищет что?
331,135,какой дом плюш ищет?
332,136,фото соответствует чему?
333,136,соответствует чему фото?
334,136,чему фото соответствует?
335,136,чему соответствует фото?
336,137,что проходит блестяще?
337,137,проходит что блестяще?
338,137,блестяще проходит что?
339,138,продаю пионер и джвс что?
340,139,что уносил ветерок?
341,140,как шея закрывается?
342,140,шея как закрывается?
343,140,закрывается хорошо что?
344,141,застраивается как улица?
345,141,застраивается улица как?
346,141,что застраивается активно?
347,142,что оговаривается индивидуально?
348,143,какой дом отдельно продается?
349,144,что снимается легко?
350,144,что легко снимается?
351,144,снимается что легко?
352,144,снимается легко что?
353,145,что работало мало?
354,145,работало что мало?
355,145,работало мало что?
356,145,мало работало что?
357,146,ДВС ест масло?
358,146,ест ДВС масло?
359,146,масло ДВС ест?
360,146,масло ест ДВС?
361,147,экран как реагирует?
362,147,экран реагирует как?
363,147,что быстро реагирует?
364,147,реагирует быстро что?
365,148,покупатель оплачивает что?
366,148,что оплачивает покупатель?
367,149,включился как Пип?
368,150,какие соседи живут постоянно?
369,150,постоянно кто живет?
370,150,постоянно живет кто?
371,151,пополняется что постоянно?
372,152,мурзилка дал что?
373,153,страдает всегда кто?
374,154,как объявления блокируют?
375,154,что постоянно блокирует?
376,154,блокирует что постоянно?
377,155,кто хозяев ищет?
378,156,обладают мальчики чем?
379,156,прекрасными породными данными кто обладает?
380,156,прекрасными породными данными обладает кто?
381,157,кого ищет опытный котик?
382,157,ищет кого опытный котик?
383,158,находится что рядом?
384,159,родители что пережили?
385,159,пережили что родители?
386,159,кто пережил бомбежку?
387,159,бомбежку кто пережил?
388,160,по-разному работал кто?
389,161,находится какой детсад рядом?
390,161,рядом какой детсад находится?
391,162,пересчитала кого Эланлюм?
392,162,кого Эланлюм пересчитала?
393,162,кого пересчитала Эланлюм?
394,162,воспитанников пересчитал кто?
395,163,сканеры делают что?
396,163,что делают сканеры?
397,163,революцию что делает?
398,164,капюшон что плотно закрывает?
399,164,плотно закрывает ушки что?
400,165,организация распродает что?
401,165,что организация распродает?
402,165,организация что распродает?
403,165,распродает что офисную мебель?
404,166,предупредил папа кого?
405,166,кого папа предупредил?
406,166,кого предупредил папа?
407,166,предупредил Чубарькова кто?
408,167,полыхало что вовсю?
409,167,вовсю полыхало что?
410,168,где чернила имеются?
411,168,имеются где чернила?
412,168,чернила где имеются?
413,168,имеется что сзади?
414,169,подарили что причина продажи?
415,169,что причина продажи подарили?
416,169,что подарило 6ой?
417,170,кто стоит рядом?
418,170,рядом кто стоит?
419,171,какой аромат подчеркнет вашу женственность?
420,171,нежный аромат что подчеркнет?
421,171,что нежный аромат подчеркнет?
422,172,чем обладает бланк?
423,172,обладает что отличным действием?
