assignment_id,description,group_id,due_date
1,Мотор работает изумительно,1,2020-01-07 23:00:00
2,Еще есть металлическая входная дверь,1,2020-01-23 23:00:00
3,Идеально прогревает любое помощение,1,2020-01-18 23:00:00
4,Также есть другие новые комоды,1,2020-01-27 23:00:00
5,Электрика работает отлично,2,2020-01-30 23:00:00
6,Рядом стоят таксисты,2,2020-01-23 23:00:00
7,Цены обговаривается индивидуально,2,2020-01-11 23:00:00
8,Ремонт выполняли профессионалы,2,2020-01-05 23:00:00
9,Щенки развиваются хорошо,2,2020-01-23 23:00:00
10,Оптовые цены оговариваются отдельно,2,2020-01-19 23:00:00
11,Ленька всегда выдумывает,2,2020-01-14 23:00:00
12,Кружевная салфетка красиво драпирует стол,3,2020-01-09 23:00:00
13,Ребята перешли улицу,3,2020-01-26 23:00:00
14,Бригада Арматурщиков ищет работу,3,2020-01-18 23:00:00
15,Грузчики предоставляются бесплатно,3,2020-01-16 23:00:00
16,Уход обладает свежей увлажняющей текстурой,3,2020-01-20 23:00:00
17,Переключатель стопора находится снизу,4,2020-01-02 23:00:00
18,Доктор покачал головой,4,2020-01-25 23:00:00
19,Девочки пошли домой,4,2020-01-09 23:00:00
20,Рамона почувствовала неловкость,4,2020-01-31 23:00:00
21,Оснастка имеет цилиндрический хвостовик,4,2020-01-17 23:00:00
22,Крышки закрываются отлично,5,2020-01-07 23:00:00
23,Джим покачал головой,5,2020-01-13 23:00:00
24,Шотландский вислоухий кот ищет невесту,5,2020-01-04 23:00:00
25,Гриша бежит вниз,6,2020-01-17 23:00:00
26,Каждая конфорка имеет независимый терморегулятор,6,2020-01-31 23:00:00
27,Комбайны не требуют вложений,6,2020-01-21 23:00:00
28,Яркость красок поражает воображение,6,2020-01-10 23:00:00
29,Таня схватила тряпку,6,2020-01-25 23:00:00
30,Эрн разинул рот,6,2020-01-03 23:00:00
31,Планшет работает хорошо,7,2020-01-03 23:00:00
32,Часы обладают яркой харизматичной внешностью,7,2020-01-18 23:00:00
33,Клатч имеет надежную застежку,7,2020-01-29 23:00:00
34,Цена щенка оговаривается отдельно,7,2020-01-15 23:00:00
35,Замечательная девочка ищет любящего хозяина,7,2020-01-12 23:00:00
36,Бур работал тихо,8,2020-01-29 23:00:00
37,Кружево смотрится дорого,8,2020-01-09 23:00:00
38,Годовалый кобелёк ищет добрых хозяев,8,2020-01-24 23:00:00
39,Связь ловит хорошо,8,2020-01-10 23:00:00
40,Квартиру снимают студенты,8,2020-01-24 23:00:00
41,Резина соответствует пробегу,9,2020-01-16 23:00:00
42,Качественное видео поддерживается прекрасной акустикой,9,2020-01-23 23:00:00
43,Джимми открыл глаза,9,2020-01-13 23:00:00
44,Бас тяжело вздыхал,10,2020-01-27 23:00:00
45,Игрушка распознает животных и транспорт,10,2020-01-03 23:00:00
46,Порри невесело усмехнулся,10,2020-01-15 23:00:00
47,Эрн окликнул Фатти,10,2020-01-10 23:00:00
48,Огнестойкость обеспечивают термоактивные прокладки,11,2020-01-14 23:00:00
49,Путешественников поддержали матери,11,2020-01-07 23:00:00
50,Фото соответствует действительности,11,2020-01-24 23:00:00
51,Шины прошли проверку,11,2020-01-19 23:00:00
52,Внутри имеется подкладка,12,2020-01-02 23:00:00
53,Искры сыпались дождем,12,2020-01-27 23:00:00
54,Тут продается новый трехэтажный дом,12,2020-01-01 23:00:00
55,Сверху ползли каблуки,12,2020-01-02 23:00:00
56,Парапланеризм дарит невероятные возможности,12,2020-01-21 23:00:00
57,Мерцающая кованая поверхность привлекает хищника,12,2020-01-21 23:00:00
58,Чек и гарантия полгода прилагаются,12,2020-01-19 23:00:00
59,Движения рук имитируют греблю,13,2020-01-23 23:00:00
60,Мастер диагностировал неисправность двигателя,13,2020-01-05 23:00:00
61,Таня испуганно ойкнула,13,2020-01-09 23:00:00
62,Рядом находятся продуктовые магазины,13,2020-01-18 23:00:00
63,Работы выполняют славяне,13,2020-01-15 23:00:00
64,Диван выдвигается вперед,14,2020-01-01 23:00:00
65,Машина любит скорость,14,2020-01-02 23:00:00
66,Бригада сварщиков ищем работу,14,2020-01-17 23:00:00
67,МАСТЕРА ВЫПОЛНЯТ ВНУТРЕННЫЕ ОТДЕЛОЧНЫЕ РАБОТЫ,14,2020-01-11 23:00:00
68,База обладает матирующим действием,14,2020-01-22 23:00:00
69,Фотография соответствует полностью,14,2020-01-26 23:00:00
70,Сенсор работает исправно,15,2020-01-08 23:00:00
71,Девочка обладает отличными породными данными,15,2020-01-18 23:00:00
72,Сосна является естественным антисептиком,15,2020-01-03 23:00:00
73,Застежка хорошо работает,16,2020-01-21 23:00:00
74,Поспешно собралась Навсикая,16,2020-01-15 23:00:00
75,Модель стройнит любую даму,16,2020-01-05 23:00:00
76,Вещи носила одна девочка,16,2020-01-24 23:00:00
77,Шелл продается отдельно,16,2020-01-05 23:00:00
78,Петя спустился вниз,17,2020-01-06 23:00:00
79,Щенята ищут заботливые ручки,17,2020-01-14 23:00:00
80,Ребята обменялись улыбками,17,2020-01-30 23:00:00
81,Рядом находится сосновый лес,18,2020-01-07 23:00:00
82,Трубку сняла женщина,18,2020-01-27 23:00:00
83,Кролика зовут Роджер,18,2020-01-05 23:00:00
84,Ширина регулируется завязками,18,2020-01-10 23:00:00
85,Сбоку стояли аквариумы,18,2020-01-23 23:00:00
86,Строительная организация ищет главного сварщика,18,2020-01-01 23:00:00
87,Пуплий пожал плечами,19,2020-01-12 23:00:00
88,Женя сидел рядом,19,2020-01-28 23:00:00
89,Гномы загудели громче,19,2020-01-09 23:00:00
90,Быстро прогреет Ваше помещение,19,2020-01-20 23:00:00
91,Пуля свистнула рядом,19,2020-01-06 23:00:00
92,Корсет продолжается черной юбкой,20,2020-01-09 23:00:00
93,Русская бригада ищет заказчиков,20,2020-01-26 23:00:00
94,Бойзи стоял рядом,20,2020-01-14 23:00:00
95,Внутри регулируется талия,20,2020-01-18 23:00:00
96,Центральная молния закрывается ветрозащитной планкой,20,2020-01-06 23:00:00
97,Медузия протянула руку,21,2020-01-14 23:00:00
98,Двигатель работает надежно,21,2020-01-21 23:00:00
99,Масло менялось своевременно,21,2020-01-09 23:00:00
100,Телефон использовался мало,22,2020-01-25 23:00:00
101,Барни лег опять,22,2020-01-05 23:00:00
102,Ротмистр перебрасывал книги,22,2020-01-17 23:00:00
103,Пес немедленно повиновался,22,2020-01-06 23:00:00
104,Голубой котик ищет любящих хозяев,22,2020-01-03 23:00:00
105,КОЛЯ пил чай,22,2020-01-09 23:00:00
106,Материал не имеет значения,22,2020-01-26 23:00:00
107,Недавно был сделан хороший ремонт,23,2020-01-23 23:00:00
108,Причина продажи хочу внедорожник,23,2020-01-26 23:00:00
109,Девочки пустились домой,23,2020-01-13 23:00:00
110,Молодой кот ищет кошечку,23,2020-01-09 23:00:00
111,Барни спал безмятежно,23,2020-01-01 23:00:00
112,Кристалл обладает природным антибактериальным действием,23,2020-01-19 23:00:00
113,Милые щенята ждут заботливых хозяев,23,2020-01-27 23:00:00
114,Питер открыл пакет,24,2020-01-14 23:00:00
115,Дети имеют хорошие привозные крови,24,2020-01-07 23:00:00
116,Чаша приобретается отдельно,24,2020-01-03 23:00:00
117,Чердыш любил ласку,24,2020-01-27 23:00:00
118,Телефоном пользовался отец,24,2020-01-22 23:00:00
119,Факелы плевались искрами,24,2020-01-08 23:00:00
120,Ребёнок быстро вырос,24,2020-01-29 23:00:00
121,Наташа оглядела стены,25,2020-01-23 23:00:00
122,Питер забыл начисто,25,2020-01-01 23:00:00
123,Там побывал писатель,25,2020-01-15 23:00:00
124,Часы имеют оригинальное происхождение,26,2020-01-20 23:00:00
125,Рукава закрываются отворотами,26,2020-01-02 23:00:00
126,Чехол имеет матовое покрытие,26,2020-01-03 23:00:00
127,Брюки имеют защитную стрейчевую основу,26,2020-01-22 23:00:00
128,Горошек покачал головой,27,2020-01-05 23:00:00
129,Дизель работает идеально,27,2020-01-18 23:00:00
130,Собаки наддали лаю,27,2020-01-16 23:00:00
131,Ответ понравился командиру,27,2020-01-20 23:00:00
132,Сема молча одевается,27,2020-01-12 23:00:00
133,Педаль покупается отдельно,27,2020-01-17 23:00:00
134,Юбка держит форму,28,2020-01-28 23:00:00
135,Шотландские милашки ищут новый дом,28,2020-01-21 23:00:00
136,Двухмесячный мальчик ищет дом,28,2020-01-15 23:00:00
137,Наименование бренда гарантирует качество,28,2020-01-14 23:00:00
138,Мысли изменяют дела,28,2020-01-17 23:00:00
139,Обходительный котик приглашает кошечек,29,2020-01-29 23:00:00
140,Начальник дал команду,29,2020-01-14 23:00:00
141,Там живет тёща,29,2020-01-31 23:00:00
142,ПЕЛИКАН смотрите другие мои лоты,29,2020-01-18 23:00:00
143,Котятки ждут новый любящий дом,30,2020-01-25 23:00:00
144,Спереди имеется застежка,30,2020-01-28 23:00:00
145,Молодая кошечка ищет новый дом,30,2020-01-29 23:00:00
146,Котята любят внимание и ласку,30,2020-01-27 23:00:00
147,Торможение выполняется надёжным ободным тормозом,30,2020-01-16 23:00:00
148,Урри потерял сознание,30,2020-01-19 23:00:00
149,Коробка имеет индивидуальный профиль,30,2020-01-13 23:00:00
150,Маленькие красавцы ждут своих хозяев,31,2020-01-14 23:00:00
151,Квартира имеет удобное расположение,31,2020-01-04 23:00:00
152,Отец отпустил мальчишку,31,2020-01-21 23:00:00
153,Санька медленно подходил,31,2020-01-21 23:00:00
154,Территория охраняется круглогодично,31,2020-01-09 23:00:00
155,Панорамное остеление открывает шикарный вид,32,2020-01-19 23:00:00
156,Кукша молча ест,32,2020-01-10 23:00:00
157,Дочь ломала руки,32,2020-01-13 23:00:00
158,Перспективная девочка ждет своих родителей,32,2020-01-01 23:00:00
159,Тимоти бежал позади,32,2020-01-21 23:00:00
160,Соседи живут постоянно,32,2020-01-30 23:00:00
161,Вся продукция имеет установленные размеры,33,2020-01-25 23:00:00
162,Мальчики бросились туда,33,2020-01-18 23:00:00
163,Двигатель работает бесшумно,33,2020-01-13 23:00:00
164,Шуба имеет нижний свободный край,33,2020-01-27 23:00:00
165,Девочки подошли поближе,33,2020-01-26 23:00:00
166,Есть отдельно стоящая баня,33,2020-01-27 23:00:00
167,Ребенок одевал пару раз,34,2020-01-23 23:00:00
168,Снабби подмигнул друзьям,34,2020-01-16 23:00:00
169,Внутри остаются станки,34,2020-01-26 23:00:00
170,Дом использовался круглогодично,35,2020-01-30 23:00:00
171,Идеально украсит любой интерьер,35,2020-01-18 23:00:00
172,Рядом сдается садик,35,2020-01-15 23:00:00
173,Электрод обладает высокими технологическими свойствами,35,2020-01-31 23:00:00
174,Ешо ест люди,35,2020-01-13 23:00:00
175,Зима продулась вконец,35,2020-01-02 23:00:00
176,Автоматика работает отлично,36,2020-01-29 23:00:00
177,Ребенок ходил пару раз,36,2020-01-05 23:00:00
178,Ищу работу дворник или уборщица,36,2020-01-01 23:00:00
179,Двигатель отлично работает,37,2020-01-23 23:00:00
180,Боня приглашает в гости,37,2020-01-06 23:00:00
181,Дедушка долго хохотал,37,2020-01-26 23:00:00
182,Компания двинулась дальше,37,2020-01-21 23:00:00
183,Грызиана убрала микрофон,38,2020-01-16 23:00:00
184,Дверь медленно приоткрылась,38,2020-01-12 23:00:00
185,Камера плохо передает цвет,38,2020-01-10 23:00:00
186,Безопасность обеспечат пятиточечные ремни,39,2020-01-08 23:00:00
187,Сушка работает отлично,39,2020-01-09 23:00:00
188,Смотритель ткнул глазами,39,2020-01-16 23:00:00
189,Щенки имеют книжки,39,2020-01-20 23:00:00
190,Девочки припустились бегом,39,2020-01-09 23:00:00
191,Кедр заметил Элис,39,2020-01-15 23:00:00
192,РЯДОМ ИМЕЕТСЯ ОЗЕРО,39,2020-01-16 23:00:00
193,Декан поднял голову,40,2020-01-19 23:00:00
194,Крыло продается отдельно,40,2020-01-28 23:00:00
195,Карабинеры занавесили окна,40,2020-01-17 23:00:00
196,Антимикробное покрытие предотвращает появление запаха,40,2020-01-19 23:00:00
197,Фидель мчался следом,40,2020-01-24 23:00:00
198,Компьютер работает идеально,41,2020-01-31 23:00:00
199,Почта работала плохо,41,2020-01-11 23:00:00
