assignment_id,description,group_id,due_date
0,Фото искажает белый цвет,0,2020-01-19 23:00:00
1,Продам костюм юбка и кофта,0,2020-01-25 23:00:00
2,Сережа отпрянул назад,0,2020-01-22 23:00:00
3,Мотор дает перебои,0,2020-01-18 23:00:00
4,Размер регулируется пластиковой застежкой,0,2020-01-10 23:00:00
5,Коляска имеет хорошую проходимость,0,2020-01-21 23:00:00
6,Вашему вниманию предлагается подарочный комплект,0,2020-01-21 23:00:00
7,Капитан глядел нахмурясь,1,2020-01-27 23:00:00
8,Диски отлично смотрятся,1,2020-01-03 23:00:00
9,Полнота регулируется шнурком,1,2020-01-19 23:00:00
10,Колёса смотрятся очень красиво,2,2020-01-17 23:00:00
11,Спереди стоит защитное стекло,2,2020-01-04 23:00:00
12,Пушок сходит быстро,2,2020-01-31 23:00:00
13,Чешуйка держалась прочно,2,2020-01-31 23:00:00
14,Роман имеет автобиографическую основу,2,2020-01-07 23:00:00
15,Духовка течет отлично,2,2020-01-09 23:00:00
16,Пипа закусила губу,2,2020-01-17 23:00:00
17,Ванька лукаво улыбнулся,3,2020-01-16 23:00:00
18,Капюшон регулируется бесшумно,3,2020-01-03 23:00:00
19,Движок работает ровно,3,2020-01-14 23:00:00
20,Золотой пояс красиво подчеркивает фигуру,3,2020-01-18 23:00:00
21,Кондер работает отлично,3,2020-01-26 23:00:00
22,Отлично переносит бокс,3,2020-01-06 23:00:00
23,Красивый принт подчеркнет Вашу индивидуальность,4,2020-01-10 23:00:00
24,Ассортимент планшетов постоянно обновляется,4,2020-01-31 23:00:00
25,Оборудование роль не играет,4,2020-01-11 23:00:00
26,Журавлика била дрожь,4,2020-01-11 23:00:00
27,Батарейка плохо держит,4,2020-01-07 23:00:00
28,Требует вложение расходники,4,2020-01-15 23:00:00
29,Кошелек раскладывается втрое,5,2020-01-19 23:00:00
30,Коммунальные услуги находятся рядом,5,2020-01-25 23:00:00
31,Время приносит мысли,5,2020-01-21 23:00:00
32,Идеально украсит любой интерьер,6,2020-01-03 23:00:00
33,Сашук бредет домой,6,2020-01-06 23:00:00
34,Колёса смотрятся очень красиво,6,2020-01-30 23:00:00
35,Кедр заметил Элис,6,2020-01-26 23:00:00
36,Плохо срабатывает передняя камера,6,2020-01-05 23:00:00
37,Брюки имеют съемные эластичные бретели,6,2020-01-25 23:00:00
38,Смартпот вполне украсит окошко,6,2020-01-07 23:00:00
39,Высадка произошла мгновенно,7,2020-01-23 23:00:00
40,Украшение притягивает внимание,7,2020-01-29 23:00:00
41,Наташа повела плечом,7,2020-01-17 23:00:00
42,Точки развернули лист,7,2020-01-09 23:00:00
43,Воду пронизывало солнце,7,2020-01-04 23:00:00
44,Семья снимет дом,7,2020-01-22 23:00:00
45,Стенка выдерживает большие нагрузки,8,2020-01-06 23:00:00
46,Фернан покачал головой,8,2020-01-06 23:00:00
47,Петька нехотя подымается,8,2020-01-12 23:00:00
48,Лёнька затаил обиду,8,2020-01-24 23:00:00
49,Другие размеры оговариваются отдельно,9,2020-01-19 23:00:00
50,Дата переключается автоматически,9,2020-01-06 23:00:00
51,Старик открыл дверь,9,2020-01-21 23:00:00
52,Диск содержит дополнительные материалы,10,2020-01-15 23:00:00
53,Заполняемость мебелью обсуждается,10,2020-01-07 23:00:00
54,Коробка работает четко,10,2020-01-15 23:00:00
55,Дозвоны и маячки обычно игнорируются,10,2020-01-22 23:00:00
56,Причина хочу другую модель,10,2020-01-26 23:00:00
57,Сбоку есть потайная молния,10,2020-01-16 23:00:00
58,Цена соответствует товару,11,2020-01-16 23:00:00
59,Турмалиновый порошок обеспечит антистатический эффект,11,2020-01-19 23:00:00
60,Ленька тяжело дышал,11,2020-01-20 23:00:00
61,Коммунальные услуги отдельно оплачиваются,11,2020-01-29 23:00:00
62,Фото соответствует телефону,12,2020-01-28 23:00:00
63,Общество активно застраивается,12,2020-01-22 23:00:00
