LoadDateTimeStamp,task_id,RecordSource,description
2019-12-09 13:40:32,1,kaggle,что работает изумительно?
2019-12-09 13:40:32,2,kaggle,изумительно что работает?
2019-12-09 13:40:32,3,kaggle,изумительно работает что?
2019-12-09 13:40:32,4,kaggle,что есть еще?
2019-12-09 13:40:32,5,kaggle,еще что есть?
2019-12-09 13:40:32,6,kaggle,есть что еще?
2019-12-09 13:40:32,7,kaggle,любое помощение как прогревает?
2019-12-09 13:40:32,8,kaggle,какое помощение прогревает идеально?
2019-12-09 13:40:32,9,kaggle,прогревает идеально какое помощение?
2019-12-09 13:40:32,10,kaggle,идеально какое помощение прогревает?
2019-12-09 13:40:32,11,kaggle,что также есть?
2019-12-09 13:40:32,12,kaggle,что есть также?
2019-12-09 13:40:32,13,kaggle,также есть что?
2019-12-09 13:40:32,14,kaggle,есть также что?
2019-12-09 13:40:32,15,kaggle,работает как электрика?
2019-12-09 13:40:32,16,kaggle,электрика как работает?
2019-12-09 13:40:32,17,kaggle,работает отлично что?
2019-12-09 13:40:32,18,kaggle,отлично что работает?
2019-12-09 13:40:32,19,kaggle,где стоят таксисты?
2019-12-09 13:40:32,20,kaggle,таксисты где стоят?
2019-12-09 13:40:32,21,kaggle,кто стоит рядом?
2019-12-09 13:40:32,22,kaggle,обговаривается как цены?
2019-12-09 13:40:32,23,kaggle,профессионалы что выполняли?
2019-12-09 13:40:32,24,kaggle,что выполняли профессионалы?
2019-12-09 13:40:32,25,kaggle,кто выполнял ремонт?
2019-12-09 13:40:32,26,kaggle,ремонт кто выполнял?
2019-12-09 13:40:32,27,kaggle,развиваются щенки как?
2019-12-09 13:40:32,28,kaggle,кто развивается хорошо?
2019-12-09 13:40:32,29,kaggle,развивается кто хорошо?
2019-12-09 13:40:32,30,kaggle,хорошо развивается кто?
2019-12-09 13:40:32,31,kaggle,оговариваются оптовые цены как?
2019-12-09 13:40:32,32,kaggle,оговаривается что отдельно?
2019-12-09 13:40:32,33,kaggle,как выдумывает Ленька?
2019-12-09 13:40:32,34,kaggle,выдумывает Ленька как?
2019-12-09 13:40:32,35,kaggle,кружевная салфетка красиво драпирует что?
2019-12-09 13:40:32,36,kaggle,что драпирует кружевная салфетка?
