assignment_id,description,group_id,due_date
1,Деревья роняют листья,1,2020-01-24 23:00:00
2,Сверху имеется смотровое окошко,1,2020-01-31 23:00:00
3,Ассортимент постоянно добавляется,1,2020-01-09 23:00:00
4,Бастер мчался рядом,1,2020-01-18 23:00:00
5,Эдгар поспешно встал,1,2020-01-14 23:00:00
6,Опытная сиделка ищет работу,1,2020-01-19 23:00:00
7,Доставка ворот рассчитывается индивидуально,2,2020-01-11 23:00:00
8,Шур долго молчал,2,2020-01-15 23:00:00
9,Велотренажёр использовался немного,2,2020-01-14 23:00:00
10,Материал предоставляет салон,3,2020-01-13 23:00:00
11,Порри перебирал транспликатор,3,2020-01-19 23:00:00
12,Капюшон пристегивается заклепками,3,2020-01-29 23:00:00
13,Коля затряс головой,3,2020-01-18 23:00:00
14,Девочка ищет своего кавалера,4,2020-01-26 23:00:00
15,ЩЕНКИ ИМЕЮТ КЛЕЙМО,4,2020-01-14 23:00:00
16,Дело обстоит так,4,2020-01-20 23:00:00
17,Удлиненная спинка создает дополнительное тепло,4,2020-01-06 23:00:00
18,Шапка приобреталась отдельно,4,2020-01-08 23:00:00
19,Элли помнила Фреда,5,2020-01-21 23:00:00
20,Коля улыбнулся представлению,5,2020-01-09 23:00:00
21,Бригада рабочих ищет подряд,5,2020-01-23 23:00:00
22,Машина работает безотказно,5,2020-01-25 23:00:00
23,Лида захлопала глазами,6,2020-01-21 23:00:00
24,Победа приближается стремительно,6,2020-01-10 23:00:00
25,Оплата оговаривается индивидуально,6,2020-01-18 23:00:00
26,Эта расцветка подчеркнет вашу индивидуальность,6,2020-01-30 23:00:00
27,Ричард громко рыдал,7,2020-01-02 23:00:00
28,Чехол и бирки тоже есть,7,2020-01-20 23:00:00
29,Мошенники пересдают чужие квартиры,7,2020-01-02 23:00:00
30,Продукция имеет сертификат качества,8,2020-01-04 23:00:00
31,Трясогузка командовал культурно,8,2020-01-19 23:00:00
32,Бензин оплачивается отдельно,8,2020-01-24 23:00:00
33,Клинт затаил дыхание,8,2020-01-12 23:00:00
34,Учителям хорошо живется,8,2020-01-20 23:00:00
35,Приставка работает идеально,8,2020-01-03 23:00:00
36,Малышки ищут хозяев,8,2020-01-07 23:00:00
37,КВАРТИРА ИМЕЕТ ИНДИВИДУАЛЬНЫЙ ВХОД,9,2020-01-27 23:00:00
38,Машинка не заливает воду,9,2020-01-25 23:00:00
39,Машинка не нагревает воду,9,2020-01-27 23:00:00
40,Связь ловит хорошо,9,2020-01-20 23:00:00
41,Комплекс активно застраивается,9,2020-01-27 23:00:00
42,Кошка лечит таких людей,9,2020-01-14 23:00:00
43,Страшила слушал внимательно,9,2020-01-17 23:00:00
44,Валялкин удивленно оглянулся,10,2020-01-17 23:00:00
45,Автокресло покупалось отдельно,10,2020-01-25 23:00:00
46,Воображение помогает соображению,10,2020-01-03 23:00:00
47,Телевизор показывает супер,11,2020-01-07 23:00:00
48,Система работает очень быстро,11,2020-01-08 23:00:00
49,Наденька положила тетрадку,11,2020-01-27 23:00:00
50,Супруга пользовалась пару раз,12,2020-01-17 23:00:00
51,Квартира строй вариант,12,2020-01-20 23:00:00
52,Пересылка обсуждается отдельно,12,2020-01-09 23:00:00
53,Тумблер активирует функцию гейта,12,2020-01-21 23:00:00
54,Доставка оСуществляется Круглосуточно,12,2020-01-04 23:00:00
55,Механизм раскладывания работает хорошо,13,2020-01-04 23:00:00
56,Мылыш ищет хозяина,13,2020-01-25 23:00:00
57,Национальность не имеет значение,13,2020-01-31 23:00:00
58,Замки работают хорошо,13,2020-01-14 23:00:00
59,Крышка держится нормально,13,2020-01-27 23:00:00
60,Милые котята ищут новый дом,13,2020-01-17 23:00:00
61,Минусы переносят отлично,14,2020-01-13 23:00:00
62,Дудик спрятал карандаш,14,2020-01-23 23:00:00
63,Маня весело рассмеялась,14,2020-01-02 23:00:00
64,Игривый котёнок ищет хозяина,14,2020-01-31 23:00:00
65,Опорос проходит самостоятельно,14,2020-01-17 23:00:00
66,Выезд замер бесплатно,14,2020-01-18 23:00:00
67,Лыжи крепятся диагонально,15,2020-01-22 23:00:00
68,Ларри залился краской,15,2020-01-08 23:00:00
69,Коттеджный посёлок активно застраивается,15,2020-01-20 23:00:00
70,Ветровка продается отдельно,15,2020-01-27 23:00:00
71,Забава зазвенела посудой,15,2020-01-19 23:00:00
72,Лабросынок ищет дом,16,2020-01-26 23:00:00
73,Мотор дает перебои,16,2020-01-17 23:00:00
74,Длина ремня регулируется пряжкой,16,2020-01-06 23:00:00
75,Тут спит Костик,16,2020-01-30 23:00:00
76,Думчев опустил скрипку,16,2020-01-21 23:00:00
77,Сарданапал наморщил лоб,16,2020-01-24 23:00:00
78,Пинька прервал старика,17,2020-01-07 23:00:00
79,Честная гарантия три мес,17,2020-01-19 23:00:00
80,Устройство имеет низкое энергопотребление,17,2020-01-21 23:00:00
81,Лазерные ножницы решают задачу,17,2020-01-31 23:00:00
82,Фотографии соответствуют действительности,17,2020-01-20 23:00:00
